iteration,c0,m0,s0,mx0,mn0,c1,m1,s1,mx1,mn1,c2,m2,s2,mx2,mn2,c3,m3,s3,mx3,mn3
74,5,0.193924,0.102216,0.340473,0.036385,2,0.153517,0.0305804,0.184097,0.122936,2,0.126669,0.0044841,0.131153,0.122185,3,0.145025,0.018615,0.163649,0.1196
75,5,0.19403,0.102208,0.340559,0.0365372,2,0.153657,0.0306362,0.184293,0.123021,2,0.12667,0.0044561,0.131126,0.122214,3,0.145113,0.0186145,0.163734,0.119688
76,5,0.194135,0.1022,0.340646,0.0366899,2,0.153797,0.030692,0.184489,0.123105,2,0.126671,0.00442791,0.131099,0.122243,3,0.145201,0.0186139,0.16382,0.119776
77,6,0.214474,0.10368,0.340733,0.0368435,2,0.153937,0.0307479,0.184685,0.123189,2,0.126672,0.00439925,0.131072,0.122273,3,0.14529,0.0186132,0.163905,0.119864
78,6,0.214539,0.103633,0.340821,0.0369977,2,0.154077,0.030804,0.184881,0.123273,2,0.126674,0.00437028,0.131045,0.122304,3,0.145378,0.0186123,0.16399,0.119953
79,6,0.214603,0.103586,0.340909,0.0371529,2,0.154217,0.0308601,0.185077,0.123356,2,0.126677,0.0043409,0.131017,0.122336,3,0.145467,0.0186108,0.164074,0.120043
80,6,0.214668,0.103538,0.340997,0.0373087,2,0.154356,0.0309163,0.185272,0.12344,2,0.126679,0.00431107,0.13099,0.122368,3,0.145556,0.0186092,0.164159,0.120133
81,6,0.214733,0.103491,0.341086,0.0374653,2,0.154496,0.0309722,0.185468,0.123524,2,0.126682,0.00428094,0.130963,0.122401,3,0.145645,0.0186075,0.164243,0.120224
82,6,0.214799,0.103444,0.341175,0.0376225,2,0.154636,0.0310281,0.185664,0.123608,2,0.126685,0.00425091,0.130936,0.122434,3,0.145735,0.0186056,0.164328,0.120315
83,6,0.214864,0.103397,0.341264,0.0377801,2,0.154776,0.0310838,0.18586,0.123692,2,0.126689,0.00422047,0.130909,0.122468,3,0.145825,0.0186034,0.164412,0.120407
84,6,0.21493,0.10335,0.341354,0.0379383,2,0.154916,0.0311393,0.186055,0.123777,2,0.126692,0.00418923,0.130882,0.122503,3,0.145916,0.0186008,0.164496,0.120499
85,6,0.214995,0.103303,0.341444,0.038097,2,0.155056,0.0311946,0.186251,0.123862,2,0.126697,0.00415747,0.130854,0.122539,3,0.146007,0.018598,0.16458,0.120593
86,7,0.217489,0.0957816,0.341534,0.0382562,2,0.155196,0.03125,0.186446,0.123946,2,0.126701,0.0041252,0.130826,0.122576,3,0.146098,0.0185949,0.164664,0.120686
87,7,0.217541,0.0957361,0.341624,0.038416,2,0.155336,0.0313052,0.186642,0.124031,2,0.126706,0.00409275,0.130799,0.122613,3,0.14619,0.018592,0.164749,0.120781
88,7,0.217594,0.0956908,0.341716,0.0385764,2,0.155477,0.0313604,0.186837,0.124116,2,0.126711,0.00405992,0.130771,0.122651,3,0.146282,0.0185888,0.164833,0.120875
89,7,0.217647,0.0956453,0.341807,0.0387376,2,0.155616,0.0314157,0.187032,0.124201,2,0.126717,0.00402648,0.130744,0.12269,3,0.146373,0.0185854,0.164917,0.12097
90,7,0.217701,0.0956,0.341899,0.0388993,2,0.155756,0.0314708,0.187227,0.124286,2,0.126723,0.00399291,0.130716,0.12273,3,0.146466,0.0185817,0.165,0.121065
91,7,0.217754,0.0955547,0.341992,0.0390615,2,0.155896,0.031526,0.187422,0.12437,2,0.126729,0.00395876,0.130688,0.12277,3,0.146558,0.018578,0.165084,0.121161
92,7,0.217808,0.0955094,0.342084,0.0392245,2,0.156036,0.0315814,0.187617,0.124454,2,0.126736,0.00392448,0.13066,0.122811,3,0.146651,0.018574,0.165168,0.121258
93,7,0.217861,0.0954643,0.342177,0.0393881,2,0.156175,0.0316368,0.187812,0.124539,2,0.126743,0.00388948,0.130632,0.122853,3,0.146744,0.0185696,0.165252,0.121355
94,7,0.217915,0.0954192,0.342271,0.0395522,2,0.156315,0.0316921,0.188007,0.124623,2,0.12675,0.0038543,0.130604,0.122896,3,0.146837,0.0185649,0.165336,0.121453
95,7,0.21797,0.0953741,0.342365,0.0397172,2,0.156455,0.0317474,0.188202,0.124707,2,0.126758,0.00381904,0.130577,0.122939,3,0.146931,0.0185602,0.165419,0.121551
96,7,0.218024,0.0953291,0.342459,0.0398825,2,0.156594,0.0318029,0.188397,0.124791,2,0.126765,0.00378357,0.130549,0.122982,3,0.147025,0.0185554,0.165503,0.12165
97,7,0.218078,0.0952839,0.342553,0.0400485,2,0.156733,0.0318582,0.188591,0.124875,2,0.126773,0.00374787,0.130521,0.123025,3,0.147119,0.0185504,0.165586,0.121748
98,7,0.218133,0.0952388,0.342648,0.0402151,2,0.156873,0.0319134,0.188786,0.124959,2,0.126781,0.00371149,0.130492,0.123069,3,0.147213,0.0185451,0.165669,0.121848
99,7,0.218188,0.0951936,0.342742,0.0403822,2,0.157012,0.0319689,0.188981,0.125043,2,0.126789,0.00367436,0.130463,0.123114,3,0.147308,0.0185398,0.165752,0.121948
100,7,0.218243,0.0951485,0.342837,0.0405501,2,0.157151,0.0320242,0.189175,0.125127,2,0.126798,0.00363695,0.130435,0.123161,3,0.147403,0.0185342,0.165835,0.122048
101,7,0.218298,0.0951034,0.342931,0.0407181,2,0.157291,0.0320794,0.18937,0.125211,2,0.126807,0.00359899,0.130406,0.123208,3,0.147499,0.0185285,0.165919,0.122149
102,7,0.218354,0.0950584,0.343026,0.0408867,2,0.15743,0.0321344,0.189564,0.125296,2,0.126817,0.00356108,0.130378,0.123256,3,0.147595,0.0185229,0.166002,0.12225
103,7,0.218409,0.0950135,0.343121,0.0410558,2,0.157569,0.0321895,0.189759,0.12538,2,0.126827,0.00352286,0.13035,0.123304,4,0.198665,0.0897342,0.351587,0.122352
104,7,0.218465,0.0949687,0.343216,0.0412254,2,0.157709,0.0322447,0.189953,0.125464,2,0.126837,0.00348436,0.130322,0.123353,4,0.198694,0.0896188,0.351415,0.122454
105,7,0.218521,0.0949238,0.343312,0.0413957,2,0.157848,0.0322999,0.190148,0.125548,2,0.126847,0.00344555,0.130293,0.123402,4,0.198723,0.0895032,0.351242,0.122556
106,7,0.218577,0.0948793,0.343409,0.0415662,2,0.157987,0.0323552,0.190342,0.125632,2,0.126858,0.00340706,0.130265,0.123451,4,0.198753,0.0893874,0.351069,0.122659
107,7,0.218633,0.0948349,0.343506,0.041737,2,0.158126,0.0324103,0.190536,0.125716,2,0.126868,0.00336814,0.130237,0.1235,4,0.198783,0.0892714,0.350897,0.122762
108,7,0.218689,0.0947905,0.343603,0.0419083,2,0.158265,0.0324655,0.19073,0.125799,2,0.126879,0.0033292,0.130209,0.12355,4,0.198812,0.0891552,0.350724,0.122865
109,7,0.218746,0.0947462,0.3437,0.0420801,2,0.158404,0.0325205,0.190925,0.125884,2,0.126891,0.00328995,0.130181,0.123601,4,0.198843,0.0890387,0.350551,0.122969
110,7,0.218802,0.0947021,0.343798,0.0422521,2,0.158543,0.0325755,0.191119,0.125968,2,0.126903,0.00325031,0.130153,0.123652,4,0.198873,0.0889222,0.350377,0.123073
111,7,0.218859,0.094658,0.343897,0.0424247,2,0.158682,0.0326305,0.191313,0.126052,2,0.126915,0.00321089,0.130126,0.123704,4,0.198904,0.0888055,0.350204,0.123178
112,7,0.218916,0.094614,0.343995,0.0425976,2,0.158821,0.0326857,0.191506,0.126135,2,0.126928,0.0031712,0.130099,0.123756,4,0.198934,0.0886886,0.350031,0.123283
113,7,0.218973,0.0945702,0.344094,0.0427707,2,0.158959,0.0327407,0.1917,0.126219,2,0.12694,0.00313086,0.130071,0.123809,4,0.198965,0.0885716,0.349858,0.123389
114,7,0.21903,0.0945264,0.344194,0.0429442,2,0.159098,0.0327957,0.191894,0.126302,2,0.126953,0.00309014,0.130043,0.123863,4,0.198997,0.0884542,0.349685,0.123495
115,7,0.219088,0.0944828,0.344294,0.0431182,2,0.159236,0.0328508,0.192087,0.126386,2,0.126966,0.00304917,0.130015,0.123917,4,0.199028,0.0883366,0.349511,0.123602
116,7,0.219145,0.0944392,0.344394,0.0432924,2,0.159375,0.0329058,0.192281,0.126469,2,0.126979,0.00300783,0.129987,0.123972,4,0.19906,0.0882188,0.349338,0.12371
117,7,0.219203,0.0943958,0.344494,0.0434667,2,0.159513,0.0329608,0.192474,0.126553,2,0.126993,0.00296609,0.129959,0.124027,4,0.199093,0.0881008,0.349164,0.123819
118,7,0.21926,0.0943526,0.344595,0.0436415,2,0.159652,0.0330154,0.192668,0.126637,2,0.127008,0.00292384,0.129932,0.124084,4,0.199125,0.0879826,0.348991,0.123928
119,7,0.219318,0.0943097,0.344697,0.0438164,2,0.159791,0.0330704,0.192861,0.12672,2,0.127023,0.00288168,0.129904,0.124141,4,0.199157,0.087864,0.348817,0.124038
120,7,0.219377,0.0942669,0.344799,0.0439918,2,0.159929,0.0331254,0.193054,0.126803,2,0.127038,0.00283913,0.129877,0.124199,4,0.19919,0.0877452,0.348643,0.124149
121,7,0.219435,0.0942241,0.344901,0.0441679,2,0.160067,0.0331804,0.193247,0.126886,2,0.127053,0.00279614,0.129849,0.124257,4,0.199223,0.0876263,0.348469,0.12426
