iteration,c0,m0,s0,mx0,mn0,c1,m1,s1,mx1,mn1,c2,m2,s2,mx2,mn2,c3,m3,s3,mx3,mn3
69,5,0.20051,0.0957746,0.361191,0.0812615,6,0.179296,0.104106,0.370124,0.0830104,3,0.15947,0.0687746,0.252748,0.0889688,7,0.198204,0.0614826,0.299345,0.133265
70,5,0.200366,0.0957389,0.360993,0.0811151,6,0.179328,0.104086,0.369973,0.0828359,3,0.159403,0.068799,0.252681,0.088799,7,0.198222,0.0614805,0.299237,0.133198
71,5,0.200223,0.095703,0.360795,0.0809693,5,0.17486,0.099722,0.369821,0.0935992,3,0.159335,0.0688235,0.252615,0.0886295,7,0.198241,0.0614787,0.299128,0.133131
72,5,0.200079,0.0956669,0.360597,0.0808239,6,0.189665,0.0967579,0.36967,0.0937551,3,0.159268,0.068848,0.252549,0.0884604,7,0.19826,0.0614772,0.29902,0.133064
73,5,0.199936,0.0956306,0.360398,0.0806791,5,0.174937,0.0995392,0.369518,0.0939117,3,0.1592,0.0688727,0.252483,0.0882914,7,0.198278,0.0614763,0.298912,0.132997
74,5,0.199793,0.095594,0.3602,0.0805345,5,0.162573,0.106159,0.369366,0.0821377,3,0.159133,0.0688971,0.252417,0.0881227,7,0.198297,0.0614759,0.298805,0.13293
75,5,0.19965,0.0955573,0.360001,0.0803903,5,0.162573,0.106105,0.369214,0.0819634,3,0.159066,0.0689214,0.252351,0.0879545,7,0.198316,0.061476,0.298699,0.132863
76,5,0.199507,0.0955205,0.359803,0.0802461,6,0.179522,0.103964,0.369061,0.0817891,3,0.158999,0.0689458,0.252284,0.0877865,7,0.198335,0.0614764,0.298593,0.132797
77,5,0.199365,0.0954834,0.359604,0.0801027,6,0.179555,0.103943,0.368908,0.0816148,3,0.158933,0.0689702,0.252218,0.0876188,7,0.198354,0.0614772,0.298488,0.13273
78,5,0.199222,0.095446,0.359406,0.0799598,5,0.162577,0.105942,0.368756,0.0814406,3,0.158866,0.0689944,0.252152,0.0874515,7,0.198373,0.0614784,0.298383,0.132664
79,5,0.19908,0.0954085,0.359207,0.0798172,6,0.179622,0.103903,0.368603,0.0812664,3,0.1588,0.0690185,0.252086,0.0872843,7,0.198392,0.06148,0.298278,0.132597
80,5,0.198938,0.0953708,0.359009,0.0796749,6,0.179655,0.103883,0.36845,0.0810923,3,0.158733,0.0690424,0.252019,0.0871177,7,0.198411,0.0614819,0.298173,0.132531
81,5,0.198796,0.095333,0.35881,0.0795328,5,0.175259,0.0988006,0.368297,0.0951799,3,0.158667,0.0690662,0.251952,0.0869513,7,0.198431,0.0614841,0.298069,0.132464
82,5,0.198654,0.0952951,0.358611,0.0793909,6,0.179722,0.103843,0.368143,0.080744,3,0.158601,0.0690901,0.251885,0.086785,7,0.19845,0.0614866,0.297964,0.132398
83,5,0.198512,0.0952571,0.358413,0.0792491,6,0.179755,0.103823,0.36799,0.0805697,3,0.158535,0.0691139,0.251818,0.0866191,7,0.198469,0.0614895,0.29786,0.132332
84,5,0.19837,0.0952189,0.358214,0.079108,5,0.162588,0.105617,0.367836,0.0803954,3,0.158469,0.0691374,0.251751,0.0864537,7,0.198488,0.0614929,0.297756,0.132265
85,5,0.198229,0.0951805,0.358015,0.0789676,5,0.162591,0.105562,0.367681,0.0802211,3,0.158403,0.0691609,0.251683,0.0862884,7,0.198508,0.0614966,0.297652,0.132198
86,5,0.198087,0.0951418,0.357816,0.0788279,6,0.179856,0.103763,0.367527,0.080047,3,0.158337,0.0691846,0.251616,0.0861232,7,0.198527,0.0615008,0.297548,0.132131
87,5,0.197946,0.0951028,0.357618,0.0786888,5,0.175513,0.0982393,0.367372,0.0961468,3,0.158271,0.0692082,0.251548,0.0859583,7,0.198546,0.0615055,0.297446,0.132065
88,5,0.197805,0.0950637,0.357419,0.0785505,6,0.179924,0.103724,0.367218,0.0796986,3,0.158205,0.0692318,0.251481,0.0857935,7,0.198566,0.0615105,0.297343,0.131998
89,5,0.197664,0.0950244,0.35722,0.0784126,5,0.162602,0.105346,0.367062,0.0795242,3,0.158139,0.0692552,0.251413,0.0856288,7,0.198585,0.0615157,0.297241,0.131932
90,5,0.197523,0.0949849,0.357021,0.0782749,6,0.179993,0.103684,0.366907,0.0793498,3,0.158073,0.0692786,0.251345,0.0854645,7,0.198605,0.0615213,0.297139,0.131866
91,5,0.197382,0.0949453,0.356822,0.0781376,5,0.175687,0.0978614,0.366752,0.0967968,3,0.158008,0.0693019,0.251277,0.0853004,7,0.198624,0.0615273,0.297038,0.131799
92,5,0.197242,0.0949056,0.356623,0.0780007,5,0.162612,0.105184,0.366597,0.0790007,3,0.157942,0.069325,0.251208,0.0851363,7,0.198643,0.0615337,0.296937,0.131733
93,5,0.197101,0.0948657,0.356424,0.0778641,6,0.180097,0.103626,0.366442,0.0788261,3,0.157877,0.0693478,0.251139,0.0849728,7,0.198663,0.0615405,0.296836,0.131665
94,5,0.196961,0.0948254,0.356225,0.0777282,6,0.191133,0.0954286,0.366287,0.0972888,3,0.157811,0.0693708,0.25107,0.0848096,7,0.198682,0.0615477,0.296736,0.131599
95,5,0.196821,0.0947851,0.356026,0.0775925,6,0.191203,0.095367,0.366131,0.0974535,3,0.157746,0.0693934,0.251001,0.0846468,7,0.198702,0.0615552,0.296636,0.131531
96,5,0.196681,0.0947447,0.355827,0.0774572,6,0.191272,0.0953052,0.365976,0.0976183,3,0.157681,0.0694161,0.250932,0.0844841,7,0.198721,0.0615631,0.296536,0.131464
97,5,0.196541,0.0947039,0.355628,0.0773224,6,0.191342,0.0952433,0.365821,0.0977835,3,0.157616,0.0694389,0.250863,0.0843217,7,0.198741,0.0615713,0.296436,0.131397
