iteration,n_agents,c0,m0,s0,mx0,mn0
292,49,18,0.430792,0.241236,0.963197,0.0909939
293,49,18,0.430776,0.241236,0.962997,0.0909042
294,49,18,0.43076,0.241236,0.962797,0.0908142
295,49,18,0.430744,0.241236,0.962597,0.0907243
296,49,18,0.430728,0.241236,0.962398,0.0906346
297,49,18,0.430712,0.241236,0.962198,0.0905452
298,49,18,0.430697,0.241236,0.961998,0.0904561
299,49,18,0.430681,0.241236,0.961798,0.0903669
300,49,18,0.430665,0.241236,0.961598,0.0902775
301,49,18,0.430649,0.241236,0.961399,0.0901883
302,49,18,0.430633,0.241237,0.961199,0.0900987
303,49,18,0.430618,0.241237,0.960999,0.0900094
304,49,18,0.430602,0.241237,0.9608,0.0899203
305,49,18,0.430586,0.241238,0.9606,0.0898312
306,49,18,0.430571,0.241238,0.9604,0.0897418
307,49,18,0.430555,0.241238,0.960201,0.0896529
308,49,18,0.43054,0.241239,0.960001,0.0895644
309,49,18,0.430525,0.241239,0.959801,0.0894759
310,49,18,0.430509,0.241239,0.959602,0.0893875
311,49,18,0.430494,0.24124,0.959403,0.0892988
312,49,18,0.430479,0.24124,0.959203,0.0892099
313,49,18,0.430464,0.24124,0.959004,0.0891208
314,49,18,0.430449,0.241241,0.958804,0.0890319
315,49,18,0.430434,0.241241,0.958605,0.0889435
316,49,18,0.430419,0.241241,0.958406,0.0888549
317,49,18,0.430404,0.241242,0.958206,0.0887668
318,49,18,0.430389,0.241242,0.958007,0.0886789
319,49,18,0.430374,0.241242,0.957807,0.0885908
320,49,18,0.430359,0.241242,0.957608,0.088503
321,49,18,0.430345,0.241243,0.957409,0.0884155
322,49,18,0.43033,0.241243,0.957209,0.0883278
323,49,18,0.430315,0.241244,0.95701,0.0882406
324,49,18,0.4303,0.241244,0.956811,0.0881533
325,49,18,0.430286,0.241245,0.956612,0.0880665
326,49,18,0.430271,0.241245,0.956412,0.0879795
327,49,18,0.430257,0.241246,0.956213,0.0878929
328,49,18,0.430242,0.241246,0.956014,0.0878068
329,49,18,0.430228,0.241246,0.955815,0.087721
330,49,18,0.430214,0.241247,0.955616,0.0876354
331,49,18,0.430199,0.241247,0.955417,0.08755
332,49,18,0.430185,0.241247,0.955218,0.0874647
333,49,18,0.430171,0.241248,0.955019,0.0873798
334,49,18,0.430157,0.241248,0.95482,0.0872948
335,49,18,0.430143,0.241248,0.954621,0.0872097
336,49,18,0.430129,0.241249,0.954422,0.0871244
337,49,18,0.430115,0.241249,0.954223,0.0870394
338,49,18,0.430101,0.241249,0.954024,0.0869545
339,49,18,0.430087,0.241249,0.953825,0.0868696
340,49,18,0.430073,0.24125,0.953626,0.0867846
341,49,18,0.430059,0.24125,0.953427,0.0867
342,49,18,0.430045,0.24125,0.953229,0.0866152
343,49,18,0.430032,0.241251,0.95303,0.0865308
344,49,18,0.430018,0.241251,0.952831,0.0864466
345,49,18,0.430004,0.241251,0.952633,0.0863624
346,49,18,0.429991,0.241252,0.952434,0.0862782
347,49,20,0.4358,0.230662,0.952236,0.086194
348,49,20,0.435804,0.230667,0.952037,0.0861098
349,49,20,0.435808,0.230672,0.951839,0.0860261
350,49,20,0.435812,0.230678,0.95164,0.0859423
351,49,20,0.435817,0.230683,0.951442,0.0858585
352,49,20,0.435821,0.230689,0.951244,0.0857747
353,49,20,0.435826,0.230694,0.951046,0.0856911
354,49,20,0.43583,0.230699,0.950848,0.0856081
355,49,20,0.435834,0.230705,0.95065,0.0855255
356,49,20,0.435839,0.23071,0.950451,0.0854428
357,49,20,0.435843,0.230716,0.950254,0.0853601
358,49,20,0.435848,0.230722,0.950056,0.0852778
359,49,20,0.435853,0.230727,0.949858,0.0851957
360,49,20,0.435857,0.230733,0.94966,0.0851137
361,49,20,0.435862,0.230739,0.949463,0.0850318
362,49,20,0.435866,0.230744,0.949265,0.0849505
363,49,20,0.435871,0.23075,0.949067,0.0848689
364,49,20,0.435876,0.230756,0.948869,0.084787
365,49,20,0.435881,0.230762,0.948672,0.084705
366,49,20,0.435885,0.230768,0.948474,0.0846234
367,49,20,0.43589,0.230774,0.948276,0.0845421
368,49,20,0.435895,0.23078,0.948079,0.084461
369,49,20,0.4359,0.230786,0.947881,0.0843803
370,49,20,0.435905,0.230792,0.947684,0.0842997
371,49,20,0.43591,0.230798,0.947487,0.0842192
372,49,20,0.435915,0.230804,0.947289,0.0841387
373,49,20,0.43592,0.230811,0.947092,0.0840584
374,49,20,0.435925,0.230817,0.946895,0.0839782
375,49,20,0.43593,0.230823,0.946698,0.0838977
376,49,20,0.435935,0.230829,0.9465,0.083817
377,49,20,0.43594,0.230836,0.946303,0.0837364
378,49,20,0.435945,0.230842,0.946106,0.0836559
379,49,20,0.43595,0.230848,0.945909,0.0835754
380,49,20,0.435955,0.230855,0.945712,0.0834947
381,49,20,0.43596,0.230861,0.945515,0.0834144
382,49,20,0.435965,0.230868,0.945318,0.0833342
383,49,20,0.43597,0.230874,0.945121,0.0832542
384,49,20,0.435975,0.230881,0.944924,0.0831748
385,49,20,0.43598,0.230887,0.944727,0.0830954
386,49,20,0.435985,0.230894,0.94453,0.0830158
387,49,20,0.43599,0.2309,0.944334,0.0829362
388,49,20,0.435995,0.230907,0.944137,0.0828571
389,49,20,0.436,0.230913,0.943941,0.0827782
390,49,20,0.436006,0.23092,0.943744,0.0826994
391,49,20,0.436011,0.230927,0.943548,0.0826211
392,49,20,0.436016,0.230933,0.943351,0.082543
393,49,20,0.436021,0.23094,0.943155,0.0824649
394,49,20,0.436026,0.230946,0.942958,0.0823867
